INFO:root:Epoch 1: train_loss=1.8028, val_loss=0.8359, ci=0.6257, rm2=0.0519
INFO:root:Epoch 2: train_loss=0.8272, val_loss=0.8136, ci=0.7192, rm2=0.1603
INFO:root:Epoch 3: train_loss=0.7379, val_loss=0.6249, ci=0.7570, rm2=0.2389
INFO:root:Epoch 4: train_loss=0.6714, val_loss=0.6259, ci=0.7754, rm2=0.2461
INFO:root:Epoch 5: train_loss=0.6302, val_loss=0.6073, ci=0.7841, rm2=0.2735
INFO:root:Epoch 6: train_loss=0.6121, val_loss=0.6054, ci=0.7859, rm2=0.2963
INFO:root:Epoch 7: train_loss=0.5956, val_loss=0.5426, ci=0.7909, rm2=0.3089
INFO:root:Epoch 8: train_loss=0.5837, val_loss=0.6283, ci=0.7959, rm2=0.3060
INFO:root:Epoch 9: train_loss=0.5548, val_loss=0.5672, ci=0.8002, rm2=0.3094
INFO:root:Epoch 10: train_loss=0.5552, val_loss=0.5328, ci=0.8021, rm2=0.3193
INFO:root:Epoch 11: train_loss=0.5359, val_loss=0.5497, ci=0.8058, rm2=0.3133
INFO:root:Epoch 1: train_loss=1.3664, val_loss=0.7217, ci=0.6777, rm2=0.1124
INFO:root:Epoch 2: train_loss=0.8150, val_loss=0.7305, ci=0.7357, rm2=0.2136
INFO:root:Epoch 3: train_loss=0.7349, val_loss=0.6496, ci=0.7745, rm2=0.2671
INFO:root:Epoch 4: train_loss=0.6841, val_loss=0.7570, ci=0.7853, rm2=0.2644
INFO:root:Epoch 5: train_loss=0.6391, val_loss=0.6425, ci=0.7900, rm2=0.2733
INFO:root:Epoch 6: train_loss=0.6019, val_loss=0.6470, ci=0.7884, rm2=0.2627
INFO:root:Epoch 7: train_loss=0.5929, val_loss=0.6574, ci=0.7961, rm2=0.2922
INFO:root:Epoch 8: train_loss=0.5760, val_loss=0.5554, ci=0.7996, rm2=0.3107
INFO:root:Epoch 9: train_loss=0.5643, val_loss=0.6648, ci=0.7950, rm2=0.2954
INFO:root:Epoch 10: train_loss=0.5437, val_loss=0.5570, ci=0.7927, rm2=0.3144
INFO:root:Epoch 11: train_loss=0.5319, val_loss=0.5348, ci=0.8067, rm2=0.3297
INFO:root:Epoch 12: train_loss=0.5174, val_loss=0.5882, ci=0.8092, rm2=0.3534
INFO:root:Epoch 13: train_loss=0.4967, val_loss=0.4763, ci=0.8124, rm2=0.4018
INFO:root:Epoch 14: train_loss=0.4810, val_loss=0.4550, ci=0.8208, rm2=0.4014
INFO:root:Epoch 15: train_loss=0.4637, val_loss=0.4467, ci=0.8268, rm2=0.4015
INFO:root:Epoch 16: train_loss=0.4399, val_loss=0.4216, ci=0.8194, rm2=0.4598
INFO:root:Epoch 17: train_loss=0.4159, val_loss=0.4064, ci=0.8300, rm2=0.4747
INFO:root:Epoch 18: train_loss=0.3992, val_loss=0.4269, ci=0.8326, rm2=0.4315
